Product Name,Price,RATING
"Realme 5i (Forest Green, 64 GB)","₹8,999",4.6
"Realme 5i (Aqua Blue, 64 GB)","₹8,999",4.6
"Redmi 8 (Sapphire Blue, 64 GB)","₹7,999",4.4
"Realme 5s (Crystal Blue, 64 GB)","₹9,999",4.4
"Redmi 8 (Onyx Black, 64 GB)","₹7,999",4.4
"Redmi 8 (Ruby Red, 64 GB)","₹7,999",4.4
"Realme 5s (Crystal Purple, 64 GB)","₹9,999",4.4
"Realme 5s (Crystal Purple, 128 GB)","₹10,999",4.4
"Infinix Hot 8 (Shark Grey, 64 GB)","₹6,999",4.5
"Realme 5s (Crystal Blue, 128 GB)","₹10,999",4.4
"Infinix Hot 8 (Cosmic Purple, 64 GB)","₹6,999",4.5
"Infinix Hot 8 (Quetzal Cyan, 64 GB)","₹6,999",4.5
"Realme C2 (Diamond Black, 32 GB)","₹5,999",4.4
"I Kall K9 (Blue, 16 GB)","₹3,609",3.6
"Realme C2 (Diamond Ruby, 32 GB)","₹7,499",4.3
"Realme C2 (Diamond Blue, 32 GB)","₹5,999",4.4
"Redmi 8A (Ocean Blue, 32 GB)","₹6,999",4.4
"Redmi Note 7 Pro (Neptune Blue, 64 GB)","₹9,999",4.5
"Redmi 7A (Matte Blue, 32 GB)","₹5,499",4.3
"I Kall K900 (Dark Blue, 64 GB)","₹4,499",4
"Realme C2 (Diamond Blue, 32 GB)","₹7,499",4.3
"Redmi 8A (Ocean Blue, 32 GB)","₹6,499",4.4
"Realme C2 (Diamond Black, 32 GB)","₹7,499",4.3
